Date,Open,High,Low,Close,Volume
7/7/2023 16:00:00,1745,1820,1700,1755,411565100
7/10/2023 16:00:00,1755,1765,1745,1750,59010700
7/11/2023 16:00:00,1750,1760,1750,1750,34028600
7/12/2023 16:00:00,1750,1765,1750,1765,27860100
7/13/2023 16:00:00,1765,1765,1750,1760,41745700
7/14/2023 16:00:00,1760,1795,1755,1780,36126300
7/17/2023 16:00:00,1790,1805,1780,1800,42037800
7/18/2023 16:00:00,1800,1935,1800,1875,64182800
7/20/2023 16:00:00,1880,1915,1825,1845,38857400
7/21/2023 16:00:00,1845,1885,1840,1875,33106100
7/24/2023 16:00:00,1875,2030,1860,2010,58408400
7/25/2023 16:00:00,2020,2310,1960,2300,78275300
7/26/2023 16:00:00,2310,2410,2220,2280,57626800
7/27/2023 16:00:00,2290,2480,2250,2470,65302700
7/28/2023 16:00:00,2470,2810,2460,2660,94264400
7/31/2023 16:00:00,2680,2850,2680,2810,72440600
8/1/2023 16:00:00,2830,3230,2390,2800,179828300
8/2/2023 16:00:00,2790,2950,2550,2830,142828200
8/3/2023 16:00:00,2830,2880,2790,2830,51237100
8/4/2023 16:00:00,2830,2940,2830,2870,53097600
8/7/2023 16:00:00,2880,2950,2850,2930,45436600
8/8/2023 16:00:00,2930,2970,2920,2960,54714300
8/9/2023 16:00:00,2960,3020,2960,3000,55024200
8/10/2023 16:00:00,3010,3040,2800,3000,52237600
8/11/2023 16:00:00,3000,3020,2990,3000,27254100
8/14/2023 16:00:00,3010,3080,3000,3080,37538100
8/15/2023 16:00:00,3080,3200,3070,3190,48297700
8/16/2023 16:00:00,3200,3300,3170,3300,52448700
8/18/2023 16:00:00,3330,3380,3300,3350,39653600
8/21/2023 16:00:00,3360,3440,3340,3440,42819200
8/22/2023 16:00:00,3440,3610,3430,3610,77881500
8/23/2023 16:00:00,3620,3840,3610,3830,71234600
8/24/2023 16:00:00,3840,4020,3540,3950,102057200
8/25/2023 16:00:00,3950,4140,3930,4140,64624300
8/28/2023 16:00:00,4140,4290,4090,4280,65825700
8/29/2023 16:00:00,4290,4470,4250,4470,95744500
8/30/2023 16:00:00,4480,4540,4390,4500,100315000
8/31/2023 16:00:00,4500,4550,4460,4530,51696900
9/1/2023 16:00:00,4530,4870,4440,4750,84973000
9/4/2023 16:00:00,4780,4980,4760,4970,72654600
9/5/2023 16:00:00,5025,5050,4930,4990,59236900
9/6/2023 16:00:00,5000,5250,4980,5200,74615800
9/7/2023 16:00:00,5250,5425,5225,5400,60842800
9/8/2023 16:00:00,5425,5650,5425,5600,68316700
9/11/2023 16:00:00,5800,5800,4800,5500,154716900
9/12/2023 16:00:00,5525,5825,5500,5800,68802100
9/13/2023 16:00:00,5850,5950,5550,5825,122386600
9/14/2023 16:00:00,5825,5875,5725,5775,60667800
9/15/2023 16:00:00,5775,5825,5375,5600,83812900
9/18/2023 16:00:00,5600,5625,5025,5150,121585000
9/19/2023 16:00:00,5150,5450,5050,5350,75031600
9/20/2023 16:00:00,5375,5425,5225,5275,34052700
9/21/2023 16:00:00,5275,5325,5150,5275,40805600
9/22/2023 16:00:00,5325,5475,5225,5450,43107600
9/25/2023 16:00:00,5450,5700,5450,5675,50688200
9/26/2023 16:00:00,5700,5800,5525,5675,65314800
9/27/2023 16:00:00,5650,5750,5575,5650,43138000
9/29/2023 16:00:00,5675,5975,5650,5925,75787100
10/2/2023 16:00:00,5800,6100,5600,6100,76950900
10/3/2023 16:00:00,6125,6375,6075,6300,57323200
10/4/2023 16:00:00,6325,6400,5925,6150,86375100
10/5/2023 16:00:00,6150,6325,6050,6300,54846800
10/6/2023 16:00:00,6300,6325,6125,6275,52587900
10/9/2023 16:00:00,6300,6475,6100,6425,78633500
10/10/2023 16:00:00,6425,6525,6375,6500,45848900
10/11/2023 16:00:00,6525,6775,6475,6700,70530000
10/12/2023 16:00:00,6800,6800,6575,6675,54294000
10/13/2023 16:00:00,6650,6725,6450,6600,36895700
10/16/2023 16:00:00,6600,6625,6125,6150,70221000
10/17/2023 16:00:00,6125,6275,5875,6250,61106500
