Date,Open,High,Low,Close,Volume
7/1/2025 16:00:00,8475,8750,8475,8675,37379900
7/2/2025 16:00:00,8675,8700,8400,8575,21023600
7/3/2025 16:00:00,8575,8750,8425,8525,18079000
7/4/2025 16:00:00,8525,8625,8425,8500,18648300
7/7/2025 16:00:00,8500,8525,8325,8400,14272500
7/8/2025 16:00:00,8400,8525,8300,8350,21432400
7/9/2025 16:00:00,8500,8850,8500,8750,44370300
7/10/2025 16:00:00,8750,8775,8450,8500,30925600
7/11/2025 16:00:00,8500,8525,8275,8375,20332000
7/14/2025 16:00:00,8375,8400,8225,8400,19455900
7/15/2025 16:00:00,8400,8425,8175,8200,19957600
7/16/2025 16:00:00,8225,8300,8100,8225,32294100
7/17/2025 16:00:00,8225,8250,8000,8100,26314100
7/18/2025 16:00:00,8100,8125,7950,8025,25145200
7/21/2025 16:00:00,8025,8125,7925,8050,33113900
7/22/2025 16:00:00,8075,8100,7800,7950,23007800
7/23/2025 16:00:00,7950,8100,7950,8050,30964500
7/24/2025 16:00:00,8050,8300,7975,8250,45691900
7/25/2025 16:00:00,8250,8275,8125,8250,22395000
7/28/2025 16:00:00,8250,8350,8225,8300,21967000
7/29/2025 16:00:00,8275,8400,8275,8350,27369200
7/30/2025 16:00:00,8350,8375,8150,8300,20841600
7/31/2025 16:00:00,8125,8425,8125,8400,38183100
8/1/2025 16:00:00,8400,8800,8375,8475,64570100
8/4/2025 16:00:00,8475,8475,7225,7225,72851100
8/5/2025 16:00:00,7250,7725,7250,7600,34622300
8/6/2025 16:00:00,7600,7775,7575,7575,25678300
8/7/2025 16:00:00,8225,9075,8225,8800,137157800
8/8/2025 16:00:00,9050,9100,8300,8700,83693500
8/11/2025 16:00:00,8700,8700,8025,8300,38771100
8/12/2025 16:00:00,8325,8525,7975,8475,68602100
8/13/2025 16:00:00,8500,8625,8325,8575,57598900
8/14/2025 16:00:00,8575,8700,8500,8600,49699800
8/15/2025 16:00:00,8625,8725,8500,8550,62024400
8/19/2025 16:00:00,8550,8550,8225,8400,46944600
8/20/2025 16:00:00,8500,8675,8450,8500,68117900
8/21/2025 16:00:00,8500,8775,8500,8725,72218800
8/22/2025 16:00:00,8700,8775,8550,8600,63688800
8/25/2025 16:00:00,8600,8625,8450,8500,62792700
8/26/2025 16:00:00,8675,8700,8075,8075,661251400
8/27/2025 16:00:00,8375,8375,8000,8150,42011000
8/28/2025 16:00:00,8200,8200,7725,7750,38149900
8/29/2025 16:00:00,7775,7975,7675,7850,31120000
9/1/2025 16:00:00,7825,7975,7575,7850,24930900
9/2/2025 16:00:00,8000,8125,7925,8000,27239700
9/3/2025 16:00:00,8175,8250,7925,8025,27878600
9/4/2025 16:00:00,8075,8125,7975,8075,25561300
9/8/2025 16:00:00,8125,8125,8000,8100,22209700
9/9/2025 16:00:00,8050,8100,7725,7725,20451000
9/10/2025 16:00:00,7750,7925,7650,7850,25743900
9/11/2025 16:00:00,7950,8100,7900,8050,31191700
9/12/2025 16:00:00,8075,8175,7950,8175,51282000
9/15/2025 16:00:00,8250,8325,8075,8125,51619900
9/16/2025 16:00:00,8175,8175,7975,8025,25414900
9/17/2025 16:00:00,8125,8175,8000,8050,40245700
9/18/2025 16:00:00,8100,8100,8025,8075,38460800
9/19/2025 16:00:00,8075,8125,7675,7675,380252900
9/22/2025 16:00:00,7750,7775,7000,7050,87139300
